A,B,C,D,Distractor 1,,Distractor 2,,Distractor 3,
filament,lightbulb,blade,propeller,misunderstanding,conversation,car,gearshift,outlet,economy
carnival,entertainment,encyclopedia,information,poster,propaganda,handout,welfare,statement,persuasion
inconceivable,doubtful,sickening,repugnant,healthful,beneficial,credible,plausible,indecent,lustful
exhausting,rejuvenating,disturbing,soothing,cruel,ruthless,pitiful,miserable,vexing,irritating
corpse,deceased,infant,nascent,prophet,skeptical,tyrant,easygoing,athlete,sluggish
lamentation,sorrow,eulogy,praise,psalm,warning,sonnet,religion,newspaper,disapproval
medal,accolade,cauldron,kettle,song,hymnal,fire,kindling,airplane,hangar
provisional,permanent,moderate,extreme,aggressive,fierce,improved,enhanced,undercover,covert
foolish,sagacity,miserly,generosity,tangible,fingers,tardy,time,infamous,celebrity
euphemism,inoffensive,charlatan,dishonest,wizard,mundane,scorpion,harmless,gymnast,clumsy
panacea,cure,contagion,infect,cello,compose,stereo,listen,stopwatch,hasten
denouement,plot,appetizer,meal,gown,ball,rifle,dagger,libertarian,revolution
labyrinth,complicated,enigma,mysterious,tempo,upbeat,narrator,biased,legend,credible
livid,angry,crestfallen,depressed,trim,anorexic,contrary,contrite,faithful,dogmatic
aloof,connected,deliberate,accidental,rigid,firm,ethereal,fleeting,logical,calculating
neutral,indifferent,lazy,indolent,exotic,commonplace,finicky,relaxed,unsettling,detached
mallet,strike,ornament,embellish,harpsichord,twinkle,impression,paint,ottoman,weave
plagiarism,wrongdoing,cancer,malady,citrus,lemonade,infection,bacteria,crime,punishment
blatant,inconspicuous,tedious,engaging,restorative,peaceful,indulgent,luxurious,pedantic,ordinary
objective,bias,tentative,certainty,fallacious,lies,autistic,health,awake,insomnia
pragmatic,unrealistic,perplexing,straightforward,flirtatious,coquettish,opulent,rich,sinful,erotic
priest,ordained,president,inaugurated,lord,defrocked,senator,allowed,king,graduated
neighborhood,city,annex,building,priory,monk,jumper,dress,iceberg,tip
piccolo,instrument,decathlon,competition,violoncello,bass,currency,dollar,cult,festival
conundrum,puzzle,palace,estate,phenomenon,science,dynamite,destruction,actor,choreographer
ruse,trick,spectacle,entertain,hangman,condemn,funeral,eliminate,inventor,deviate
sacrosanct,holy,abominable,evil,surprising,remarkable,skeptical,gullible,ridiculous,absurd
cathedral,church,university,school,orchestra,symphony,preamble,constitution,prefix,suffix
selfish,altruism,depraved,morality,ambiguity,uncertainty,hollow,emptiness,insidious,diseases
loquacious,quiet,trivial,crucial,forgiven,annulled,salacious,impure,enduring,ongoing
