A,B,C,D,Distractor 1,,Distractor 2,,Distractor 3,
wall,room,wheel,car,lettuce,sandwich,dog,cat,song,dance
match,fire,key,car,bag,wallet,gas,machine,cookie,mouth
candy,sweet,fire,hot,water,cold,time,fast,money,expensive
huge,big,tiny,small,nice,good,funny,happy,old,new
teacher,educate,doctor,heal,farmer,talk,engine,oil,dog,sit
ugly,beauty,serious,humor,old,age,hot,heat,sweet,strength
hilarious,funny,great,good,right,wrong,hard,boring,nice,crazy
play,work,laugh,cry,eat,talk,run,walk,see,hear
eyes,see,ears,hear,hands,cry,feet,talk,teeth,think
ham,meat,juice,drink,air,water,tennis,school,math,number
musician,music,chef,food,shower,water,machine,snow,child,art
whale,ocean,tiger,jungle,car,garage,snake,ocean,chair,table
terrified,scared,obsessed,interested,quiet,secret,sweet,rich,funny,serious
sad,happiness,weak,strength,sweet,flavor,fast,time,pretty,beauty
tongue,taste,nose,smell,boat,swim,bed,sit,bag,buy
chair,sit,cup,drink,bottle,break,book,read,eye,listen
wrench,tool,carrot,vegetable,cow,milk,radio,sound,tree,forest
tiny,little,huge,big,long,tall,small,loud,neat,messy
poor,money,tired,energy,angry,emotion,hot,ice,hungry,water
safe,dangerous,silent,noisy,upset,late,wise,smart,fast,quick
great,good,hot,warm,fun,cool,strange,weird,dull,sharp
beautiful,pretty,terrible,bad,brave,valiant,new,old,tall,skinny
ring,finger,necklace,neck,bracelet,diamond,sock,hand,glove,foot
correct,right,cheap,inexpensive,crazy,smart,weak,fun,strong,hard
shoe,foot,hat,head,boot,hand,glove,wrist,sock,leg
puppy,dog,kitten,cat,bear,cub,fish,minnow,cow,calf
rock,hard,water,wet,table,wooden,mom,nice,sound,loud
sick,health,scared,courage,sad,emotion,tall,intelligence,smart,energy
hammer,hit,knife,cut,table,eat,pen,build,wheel,race
shield,protect,vehicle,transport,computer,talk,pencil,make,song,sing
