A,B,C,D,Distractor 1,,Distractor 2,,Distractor 3,,Distractor 4,
vitriol,bitter,alabaster,white,hindsight,perfect,buoyancy,light,equilibrium,just,jubilation,biblical
invective,blame,masonry,construct,homage,copy,grandeur,admire,duplicity,increase,depravity,corrupt
vernacular,regional,fluctuation,irregular,leaf,autumnal,senator,dissentious,budget,austere,autopsy,fatal
virulent,poisonous,disparate,different,autonomous,free,botanical,flowery,dormant,tired,unique,eccentric
grandier,army,count,nobility,inkling,pen,wheelchair,paraplegic,couch,lethargy,insurrection,government
fake,authenticity,latent,manifestation,impenetrable,defense,lacteal,milk,preponderant,thought,retrograde,direction
nefarious,virtuous,reticent,talkative,stringent,solid,subliminal,secret,jocular,humorous,haggard,old
castigate,criticize,dishevel,destroy,brutalize,attack,legalize,filibuster,predict,forecast,kill,massacre
powerless,efficacy,explicit,ambiguity,turbulent,violence,anomalous,irregularity,homogenous,similarity,effluent,water
rivulet,small,citadel,fortified,dissertation,plagiarized,bird,fledgling,bankruptcy,indebted,hooligan,athletic
wretched,cheerful,innocuous,dangerous,territorial,terrestrial,floundering,struggling,redacted,censored,solitary,confined
level,hierarchy,installment,serial,halo,messiah,vinaigrette,salad,courtroom,drama,misnomer,definition
peccadillo,sin,masquerade,party,peasant,serf,sarcophagus,funeral,letdown,devastation,hex,wizard
tyro,inexperienced,sycophant,servile,headmaster,principled,scapegoat,blameworthy,forgery,valuable,risk,worthwhile
blandishment,coax,eulogy,praise,directory,telephone,pavilion,promenade,surplus,squander,controversy,placate
pragmatism,philosophy,cancer,malady,elevation,pinnacle,electricity,outlet,cacophony,opera,chemistry,element
element,aggregate,foreground,landscape,fresco,painting,benefactor,fortune,mandate,ruler,diet,nutrient
decanter,pour,monument,venerate,criminal,deviate,nunnery,convert,pharmacy,prescribe,stiletto,walk
unprecedented,forerunners,adulterated,purity,unnecessary,prerequisites,nauseating,medicine,bloodthirsty,anemia,holistic,proof
erudite,uneducated,fervid,dispassionate,fiery,flagrant,loquacious,talkative,gullible,naïve,dissonant,discordant
truism,obvious,daredevil,audacious,waiver,safe,president,tyrannical,novel,ingenious,pedant,imaginative
laconic,concise,ephemeral,fleeting,obdurate,cooperative,malleable,unchanging,vindictive,forgiving,equivocal,certain
lie,prevaricate,waver,falter,betray,trust,philander,donate,deride,praise,corroborate,doubt
concession,placate,catalyst,precipitate,female,engender,artillery,bolster,exercise,enervate,adjudicator,mitigate
