A,B,C,D,Distractor 1,,Distractor 2,,Distractor 3,
slave,submissive,murderer,violent,circus,laughable,professor,ignorant,professional,bossy
pipe,water,vein,blood,bottle,wine,artery,paint,nozzle,hose
dreamer,idealistic,cynic,critical,judge,legal,parent,feminine,novice,skilled
verdict,judgment,infant,baby,jet,helicopter,observation,science,principal,school
cruel,unkind,vicious,aggressive,graceful,flexible,frightening,spooky,evil,insane
square,quadrilateral,rifle,weapon,instrument,violin,pattern,plaid,airplane,spacecraft
clumsy,grace,doubtful,faith,determined,work,rich,charity,beautiful,love
permanent,temporary,skeptical,trusting,ordinary,plain,imaginary,fake,astonishing,surprising
attorney,lawyer,dog,canine,worker,secretary,flower,daffodil,doctor,dentist
rain,precipitation,salmon,seafood,snow,tundra,jungle,desert,pet,hamster
corrupt,morals,ruthless,mercy,talented,skill,rude,intelligence,fortunate,money
democracy,government,sonnet,poem,master,slave,storm,blizzard,tribe,family
cowardly,brave,foolish,wise,numerous,many,awful,dreadful,anxious,nervous
knight,chivalrous,flower,flagrant,daughter,rebellious,conversation,short,disease,curable
buckle,belt,month,year,suit,tie,shovel,pit,summer,season
blizzard,storm,novelist,writer,boat,submarine,radio,television,organization,party
carnivore,meat,herbivore,plants,vegetarian,wheat,omnivore,food,vegan,pastries
honest,sincere,solitary,alone,peaceful,nervous,vengeful,forgiving,religious,doubtful
academy,educate,jail,imprison,court,blame,trailer,roam,café,ingest
rectangle,shape,assault,crime,dealer,employer,deer,antelope,telephone,call
senate,conrgess,lobby,hotel,cinema,theater,judge,chamber,government,democracy
success,failure,virtue,evil,grief,sadness,debt,loss,life,birth
heinous,evil,tremendous,large,old,antique,distressed,flawed,possible,probable
scribe,write,watchman,guard,mother,reign,tribute,offend,translator,read
glass,delicate,cola,bubbly,air,bearable,strone,gray,peace,eternal
cat,feline,blunder,mistake,book,novel,theatre,play,autombile,tank
hobby,pastime,emperor,leader,producer,product,skill,sport,player,athlete
ambitious,lazy,insecure,confident,embarrassed,timid,talkative,loud,friendly,gregarious
carefreee,worries,ignorant,knowledge,hesitant,doubt,pleasing,happiness,lovely,affection
master,dominant,ghost,ethereal,nation,powerful,activist,naïve,worker,impoverished
